row_id,order_id,customer_id,product_id,sales,quantity,discount,profit,city,state,postal_code,customer_name,segment,region,product_name,category
44,CA-2014-139619,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616,Melbourne,Florida,32935,Erin Smith,Corporate,East,Advantus 10-Drawer Portable Organizer/Chrome Metal Frame/Smoke Drawers,Office Supplies
45,CA-2013-118255,ON-18715,TEC-AC-10000171,45.98,2,0.0,19.7714,Eagan,Minnesota,55122,Odella Nelson,Corporate,South,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc/25/Pack,Technology
46,CA-2013-118255,ON-18715,OFF-BI-10003291,17.46,2,0.0,8.2062,Eagan,Minnesota,55122,Odella Nelson,Corporate,South,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies
47,CA-2011-146703,PO-18865,OFF-ST-10001713,211.96,4,0.0,8.4784,Westland,Michigan,48185,Patrick O'Donnell,Consumer,Central,Gould Plastics 9-Pocket Panel Bin/18-3/8w x 5-1/4d x 20-1/2h/Black,Office Supplies
48,CA-2013-169194,LH-16900,TEC-AC-10002167,45.0,3,0.0,4.95,Dover,Delaware,19901,Lena Hernandez,Consumer,South,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology
49,CA-2013-169194,LH-16900,TEC-PH-10003988,21.8,2,0.0,6.104,Dover,Delaware,19901,Lena Hernandez,Consumer,South,LF Elite 3D Dazzle Designer Hard Case Cover/Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,Technology
50,CA-2012-115742,DP-13000,OFF-BI-10004410,38.22,6,0.0,17.9634,New Albany,Indiana,47150,Darren Powers,Consumer,South,C-Line Peel & Stick Add-On Filing Pockets/8-3/4 x 5-1/8/10/Pack,Office Supplies
51,CA-2012-115742,DP-13000,OFF-LA-10002762,75.18,6,0.0,35.3346,New Albany,Indiana,47150,Darren Powers,Consumer,South,Avery 485,Office Supplies
52,CA-2012-115742,DP-13000,FUR-FU-10001706,6.16,2,0.0,2.9568,New Albany,Indiana,47150,Darren Powers,Consumer,South,Longer-Life Soft White Bulbs,Furniture
53,CA-2012-115742,DP-13000,FUR-CH-10003061,89.99,1,0.0,17.0981,New Albany,Indiana,47150,Darren Powers,Consumer,South,Global Leather Task Chair/Black,Furniture
54,CA-2013-105816,JM-15265,OFF-FA-10000304,15.26,7,0.0,6.2566,New York City,New York,10024,Janet Molinari,Corporate,West,Advantus Push Pins,Office Supplies
55,CA-2013-105816,JM-15265,TEC-PH-10002447,1029.95,5,0.0,298.6855,New York City,New York,10024,Janet Molinari,Corporate,West,AT&T CL83451 4-Handset Telephone,Technology
56,CA-2013-111682,TB-21055,OFF-ST-10000604,208.56,6,0.0,52.14,Troy,New York,12180,Ted Butterfield,Consumer,East,Home/Office Personal File Carts,Office Supplies
57,CA-2013-111682,TB-21055,OFF-PA-10001569,32.4,5,0.0,15.552,Troy,New York,12180,Ted Butterfield,Consumer,East,Xerox 232,Office Supplies
58,CA-2013-111682,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098,Troy,New York,12180,Ted Butterfield,Consumer,East,Novimex Turbo Task Chair,Furniture
59,CA-2013-111682,TB-21055,OFF-PA-10000587,14.56,2,0.0,6.9888,Troy,New York,12180,Ted Butterfield,Consumer,East,Array Parchment Paper/Assorted Colors,Office Supplies
60,CA-2013-111682,TB-21055,TEC-AC-10002167,30.0,2,0.0,3.3,Troy,New York,12180,Ted Butterfield,Consumer,East,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology
61,CA-2013-111682,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362,Troy,New York,12180,Ted Butterfield,Consumer,East,Plastic Binding Combs,Office Supplies
62,CA-2013-111682,TB-21055,OFF-AR-10001868,1.68,1,0.0,0.84,Troy,New York,12180,Ted Butterfield,Consumer,East,Prang Dustless Chalk Sticks,Office Supplies
63,CA-2012-135545,KM-16720,TEC-AC-10004633,13.98,2,0.0,6.1512,Los Angeles,California,90004,Kunst Miller,Consumer,East,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc/3/Pack,Technology
64,CA-2012-135545,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612,Los Angeles,California,90004,Kunst Miller,Consumer,East,Acco PRESSTEX Data Binder with Storage Hooks/Dark Blue/14 7/8 X 11,Office Supplies
65,CA-2012-135545,KM-16720,OFF-PA-10003892,146.73,3,0.0,68.9631,Los Angeles,California,90004,Kunst Miller,Consumer,East,Xerox 1943,Office Supplies
66,CA-2012-135545,KM-16720,FUR-FU-10000397,79.76,4,0.0,22.3328,Los Angeles,California,90004,Kunst Miller,Consumer,East,Luxo Economy Swing Arm Lamp,Furniture
67,US-2012-164175,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225,Chicago,Illinois,60610,Paul Stevenson,Home Office,Central,Global Task Chair/Black,Furniture
68,CA-2011-106376,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024,Gilbert,Arizona,85234,Brendan Sweed,Corporate,Central,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener/Beige,Office Supplies
69,CA-2011-106376,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988,Gilbert,Arizona,85234,Brendan Sweed,Corporate,Central,netTALK DUO VoIP Telephone Service,Technology
70,CA-2013-119823,KD-16270,OFF-PA-10000482,75.88,2,0.0,35.6636,Springfield,Virginia,22153,Karen Daniels,Consumer,Central,Snap-A-Way Black Print Carbonless Ruled Speed Letter/Triplicate,Office Supplies
71,CA-2013-106075,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731,New York City,New York,10009,Henry MacAllister,Consumer,South,VariCap6 Expandable Binder,Office Supplies
72,CA-2014-114440,TB-21520,OFF-PA-10004675,19.05,3,0.0,8.763,Jackson,Michigan,49201,Tracy Blumstein,Consumer,West,Telephone Message Books with Fax/Mobile Section/5 1/2 x 3 3/16,Office Supplies
73,US-2012-134026,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912,Memphis,Tennessee,38109,Joel Eaton,Consumer,West,High-Back Leather Manager's Chair,Furniture
74,US-2012-134026,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213,Memphis,Tennessee,38109,Joel Eaton,Consumer,West,Tenex Traditional Chairmats for Medium Pile Carpet/Standard Lip/36 x 48,Furniture
75,US-2012-134026,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196,Memphis,Tennessee,38109,Joel Eaton,Consumer,West,Safco Industrial Wire Shelving System,Office Supplies
76,US-2014-118038,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344,Houston,Texas,77041,Ken Brennan,Corporate,East,Economy Binders,Office Supplies
77,US-2014-118038,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248,Houston,Texas,77041,Ken Brennan,Corporate,East,6 Cubicle Wall Clock/Black,Furniture
78,US-2014-118038,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724,Houston,Texas,77041,Ken Brennan,Corporate,East,SimpliFile Personal File/Black Granite/15w x 6-15/16d x 11-1/4h,Office Supplies
79,US-2011-147606,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475,Houston,Texas,77070,Joel Eaton,Consumer,West,Eldon Expressions Desk Accessory/Wood Pencil Holder/Oak,Furniture
80,CA-2013-127208,SC-20770,OFF-AP-10002118,208.16,1,0.0,56.2032,Decatur,Alabama,35601,Stewart Carmichael,Corporate,Central,1.7 Cubic Foot Compact Cube Office Refrigerators,Office Supplies
81,CA-2013-127208,SC-20770,OFF-BI-10002309,16.74,3,0.0,8.0352,Decatur,Alabama,35601,Stewart Carmichael,Corporate,Central,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies
82,CA-2011-139451,DN-13690,OFF-AR-10002053,14.9,5,0.0,4.172,San Francisco,California,94122,Duane Noonan,Consumer,East,Premium Writing Pencils/Soft/#2 by Central Association for the Blind,Office Supplies
83,CA-2011-139451,DN-13690,OFF-ST-10002370,21.39,1,0.0,6.2031,San Francisco,California,94122,Duane Noonan,Consumer,East,Sortfiler Multipurpose Personal File Organizer/Black,Office Supplies
84,CA-2012-149734,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075,Durham,North Carolina,27707,Julie Creighton,Corporate,South,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies
85,US-2014-119662,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549,Chicago,Illinois,60623,Christopher Schild,Home Office,South,Safco Industrial Wire Shelving,Office Supplies
86,CA-2014-140088,PO-18865,FUR-CH-10000863,301.96,2,0.0,33.2156,Columbia,South Carolina,29203,Patrick O'Donnell,Consumer,Central,Novimex Swivel Fabric Task Chair,Furniture
87,CA-2014-155558,PG-18895,TEC-AC-10001998,19.99,1,0.0,6.7966,Rochester,Minnesota,55901,Paul Gonzalez,Consumer,South,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology
88,CA-2014-155558,PG-18895,OFF-LA-10000134,6.16,2,0.0,2.9568,Rochester,Minnesota,55901,Paul Gonzalez,Consumer,South,Avery 511,Office Supplies
89,CA-2013-159695,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572,Houston,Texas,77095,Gary Mitchum,Home Office,Central,Eldon Portable Mobile Manager,Office Supplies
90,CA-2013-109806,JS-15685,OFF-AR-10004930,20.1,3,0.0,6.633,Los Angeles,California,90036,Jim Sink,Corporate,East,Turquoise Lead Holder with Pocket Clip,Office Supplies
91,CA-2013-109806,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782,Los Angeles,California,90036,Jim Sink,Corporate,East,Panasonic Kx-TS550,Technology
92,CA-2013-109806,JS-15685,OFF-PA-10000304,6.48,1,0.0,3.1104,Los Angeles,California,90036,Jim Sink,Corporate,East,Xerox 1995,Office Supplies
93,CA-2012-149587,KB-16315,OFF-PA-10003177,12.96,2,0.0,6.2208,Minneapolis,Minnesota,55407,Karl Braun,Consumer,Central,Xerox 1999,Office Supplies
94,CA-2012-149587,KB-16315,FUR-FU-10003799,53.34,3,0.0,16.5354,Minneapolis,Minnesota,55407,Karl Braun,Consumer,Central,Seth Thomas 13 1/2 Wall Clock,Furniture
95,CA-2012-149587,KB-16315,OFF-BI-10002852,32.96,2,0.0,16.1504,Minneapolis,Minnesota,55407,Karl Braun,Consumer,Central,Ibico Standard Transparent Covers,Office Supplies
96,US-2014-109484,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.788,Portland,Oregon,97206,Roger Barcio,Home Office,Central,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies
97,CA-2014-161018,PN-18775,FUR-FU-10000629,96.53,7,0.0,40.5426,New York City,New York,10009,Parhena Norris,Home Office,West,9-3/4 Diameter Round Wall Clock,Furniture
98,CA-2014-157833,KD-16345,OFF-BI-10001721,51.312,3,0.2,17.9592,San Francisco,California,94122,Katherine Ducich,Consumer,Central,Trimflex Flexible Post Binders,Office Supplies
99,CA-2013-149223,ER-13855,OFF-AP-10000358,77.88,6,0.0,22.5852,Saint Paul,Minnesota,55106,Elpida Rittenbach,Corporate,South,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies
100,CA-2013-158568,RB-19465,OFF-PA-10003256,64.624,7,0.2,22.6184,Chicago,Illinois,60610,Rick Bensley,Home Office,West,Avery Personal Creations Heavyweight Cards,Office Supplies
101,CA-2013-158568,RB-19465,TEC-AC-10001767,95.976,3,0.2,-10.7973,Chicago,Illinois,60610,Rick Bensley,Home Office,West,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology
102,CA-2013-158568,RB-19465,OFF-BI-10002609,1.788,3,0.8,-3.0396,Chicago,Illinois,60610,Rick Bensley,Home Office,West,Avery Hidden Tab Dividers for Binding Systems,Office Supplies
103,CA-2013-129903,GZ-14470,OFF-PA-10004040,23.92,4,0.0,11.7208,Rochester,Minnesota,55901,Gary Zandusky,Consumer,West,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies
104,US-2012-156867,LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758,Aurora,Colorado,80013,Lena Cacioppo,Consumer,East,Logitech K350 2.4Ghz Wireless Keyboard,Technology
105,US-2012-156867,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.8385,Aurora,Colorado,80013,Lena Cacioppo,Consumer,East,Deflect-o DuraMat Lighweight/Studded/Beveled Mat for Low Pile Carpeting,Furniture
106,US-2012-156867,LC-16870,OFF-BI-10002794,36.882,3,0.7,-25.8174,Aurora,Colorado,80013,Lena Cacioppo,Consumer,East,Avery Trapezoid Ring Binder/3 Capacity/Black/1040 sheets,Office Supplies
107,CA-2014-119004,JM-15250,TEC-AC-10003499,74.112,8,0.2,17.6016,Charlotte,North Carolina,28205,Janet Martin,Consumer,West,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology
108,CA-2014-119004,JM-15250,TEC-PH-10002844,27.992,1,0.2,2.0994,Charlotte,North Carolina,28205,Janet Martin,Consumer,West,Speck Products Candyshell Flip Case,Technology
109,CA-2014-119004,JM-15250,OFF-AR-10000390,3.304,1,0.2,1.0738,Charlotte,North Carolina,28205,Janet Martin,Consumer,West,Newell Chalk Holder,Office Supplies
110,CA-2012-129476,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992,Orland Park,Illinois,60462,Pete Armstrong,Home Office,West,Logitech Gaming G510s - Keyboard,Technology
111,CA-2014-146780,CV-12805,FUR-FU-10001934,41.96,2,0.0,10.9096,New York City,New York,10035,Cynthia Voltz,Corporate,East,Magnifier Swing Arm Lamp,Furniture
112,CA-2013-128867,CL-12565,OFF-AR-10000380,75.96,2,0.0,22.788,Urbandale,Iowa,50322,Clay Ludtke,Consumer,Central,Hunt PowerHouse Electric Pencil Sharpener/Blue,Office Supplies
113,CA-2013-128867,CL-12565,OFF-BI-10003981,27.24,6,0.0,13.3476,Urbandale,Iowa,50322,Clay Ludtke,Consumer,Central,Avery Durable Plastic 1 Binders,Office Supplies
114,CA-2011-115259,RC-19960,OFF-FA-10000621,40.096,14,0.2,14.5348,Columbus,Ohio,43229,Ryan Crowe,Consumer,East,OIC Colored Binder Clips/Assorted Sizes,Office Supplies
115,CA-2011-115259,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.652,Columbus,Ohio,43229,Ryan Crowe,Consumer,East,Redi-Strip #10 Envelopes/4 1/8 x 9 1/2,Office Supplies
116,CA-2011-115259,RC-19960,OFF-PA-10004965,23.976,3,0.2,7.4925,Columbus,Ohio,43229,Ryan Crowe,Consumer,East,Xerox 1921,Office Supplies
117,CA-2011-115259,RC-19960,OFF-EN-10002504,130.464,6,0.2,44.0316,Columbus,Ohio,43229,Ryan Crowe,Consumer,East,Tyvek  Top-Opening Peel & Seel Envelopes/Plain White,Office Supplies
118,CA-2012-110457,DK-13090,FUR-TA-10001768,787.53,3,0.0,165.3813,Seattle,Washington,98103,Dave Kipp,Consumer,South,Hon Racetrack Conference Tables,Furniture
119,US-2012-136476,GG-14650,OFF-BI-10003650,157.794,1,0.7,-115.7156,Bristol,Tennessee,37620,Greg Guthrie,Corporate,West,GBC DocuBind 300 Electric Binding Machine,Office Supplies
120,CA-2013-103730,SC-20725,FUR-FU-10002157,47.04,3,0.0,18.3456,Wilmington,Delaware,19805,Steven Cartwright,Consumer,West,Artistic Insta-Plaque,Furniture
121,CA-2013-103730,SC-20725,OFF-BI-10003910,30.84,4,0.0,13.878,Wilmington,Delaware,19805,Steven Cartwright,Consumer,West,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies
122,CA-2013-103730,SC-20725,OFF-ST-10000777,226.56,6,0.0,63.4368,Wilmington,Delaware,19805,Steven Cartwright,Consumer,West,Companion Letter/Legal File/Black,Office Supplies
123,CA-2013-103730,SC-20725,OFF-EN-10002500,115.02,9,0.0,51.759,Wilmington,Delaware,19805,Steven Cartwright,Consumer,West,Globe Weis Peel & Seel First Class Envelopes,Office Supplies
124,CA-2013-103730,SC-20725,TEC-PH-10003875,68.04,7,0.0,19.7316,Wilmington,Delaware,19805,Steven Cartwright,Consumer,West,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology
125,US-2011-152030,AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794,Houston,Texas,77041,Alan Dominguez,Home Office,East,Global Deluxe High-Back Manager's Chair,Furniture
126,US-2011-134614,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682,Bloomington,Illinois,61701,Philip Fox,Consumer,Central,Bevis 44 x 96 Conference Tables,Furniture
8500,CA-2011-169061,AB-10150,OFF-BI-10001617,49.632,6,0.2,16.7508,Yonkers,New York,10701,Aimee Bixby,Consumer,East,GBC Wire Binding Combs,Office Supplies
127,US-2014-107272,TS-21610,OFF-BI-10003274,2.388,2,0.7,-1.8308,Phoenix,Arizona,85023,Troy Staebel,Consumer,Central,Avery Durable Slant Ring Binders/No Labels,Office Supplies
128,US-2014-107272,TS-21610,OFF-ST-10002974,243.992,7,0.2,30.499,Phoenix,Arizona,85023,Troy Staebel,Consumer,Central,Trav-L-File Heavy-Duty Shuttle II/Black,Office Supplies
129,US-2013-125969,LS-16975,FUR-CH-10001146,81.424,2,0.2,-9.1602,Los Angeles,California,90004,Lindsay Shagiari,Home Office,West,Global Task Chair/Black,Furniture
130,US-2013-125969,LS-16975,FUR-FU-10003773,238.56,3,0.0,26.2416,Los Angeles,California,90004,Lindsay Shagiari,Home Office,West,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture
131,US-2014-164147,DW-13585,TEC-PH-10002293,59.97,5,0.4,-11.994,Columbus,Ohio,43229,Dorothy Wardle,Corporate,East,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology
132,US-2014-164147,DW-13585,OFF-PA-10002377,78.304,2,0.2,29.364,Columbus,Ohio,43229,Dorothy Wardle,Corporate,East,Adams Telephone Message Book W/Dividers/Space For Phone Numbers/5 1/4X8 1/2/200/Messages,Office Supplies
133,US-2014-164147,DW-13585,OFF-FA-10002780,21.456,9,0.2,6.9732,Columbus,Ohio,43229,Dorothy Wardle,Corporate,East,Staples,Office Supplies
134,CA-2013-145583,LC-16885,OFF-PA-10001804,20.04,3,0.0,9.6192,Roseville,California,95661,Lena Creighton,Consumer,West,Xerox 195,Office Supplies
135,CA-2013-145583,LC-16885,OFF-PA-10001736,35.44,1,0.0,16.6568,Roseville,California,95661,Lena Creighton,Consumer,West,Xerox 1880,Office Supplies
136,CA-2013-145583,LC-16885,OFF-AR-10001149,11.52,4,0.0,3.456,Roseville,California,95661,Lena Creighton,Consumer,West,Sanford Colorific Colored Pencils/12/Box,Office Supplies
137,CA-2013-145583,LC-16885,OFF-FA-10002988,4.02,2,0.0,1.9698,Roseville,California,95661,Lena Creighton,Consumer,West,Ideal Clamps,Office Supplies
